src_port,dst_port,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,bwd_psh_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,psh_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_bwd_win_byts,fwd_act_data_pkts,active_mean,active_max,active_min,idle_mean,idle_max,idle_min,classifier
49158,443,4010537,17,22,4529.0,1736.0,581.0,0.0,266.41176470588243,246.75318103915333,581.0,0.0,78.90909090909092,136.47777041768308,1562.1349460184506,9.724383542652768,105540.44736842107,365427.68319938506,2279386.0,1009.0,3898489.0,243655.5625,545511.8046522267,2279386.0,10928.0,3988597.0,189933.1904761905,548653.3462166818,2568452.0,2768.0,1,340,440,4.2388338519255635,5.485549690727201,581.0,171.15000000000003,219.25147135722415,48071.20769230768,1,1.0,175.53846153846158,266.41176470588243,78.9090909090909,17,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,3901033,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,912.5787964367387,3.0761083025957485,354639.3636363636,930781.1120387298,3152779.0,3559.0,3824832.0,637472.0,1233673.4068848207,3152779.0,76394.0,3828562.0,957140.5,1521807.370698736,3230239.0,3559.0,1,140,100,1.79439650984752,1.2817117927482284,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,13659,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,4316857,16,22,4529.0,1736.0,581.0,0.0,283.0625,244.78329702003768,581.0,0.0,78.90909090909092,136.47777041768308,1451.287360225275,8.802700668565118,116671.81081081086,380136.6734314003,2338165.0,1421.0,4201573.0,280104.8666666667,573898.7611768008,2338165.0,66627.0,4102686.0,195366.0,573883.135235302,2685731.0,3573.0,1,320,440,3.7064002815011015,5.096300387064015,581.0,175.5384615384616,220.33071388660588,48545.623481781375,1,1.0,180.15789473684208,283.0625,78.9090909090909,16,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,4014558,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,886.7725911544933,2.9891210937791906,364959.8181818181,967226.3829187887,3272345.0,5783.0,3937494.0,656249.0,1283328.6535928354,3272345.0,77735.0,3942815.0,985703.75,1583732.9580939198,3352619.0,5783.0,1,140,100,1.7436539713711945,1.2454671224079958,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,12636,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,3115691,15,22,4529.0,1736.0,581.0,0.0,301.93333333333334,241.02710774240032,581.0,0.0,78.90909090909092,136.47777041768308,2010.7899018227413,11.875375318027364,86546.97222222223,241102.21888514853,1468597.0,1330.0,3001309.0,214379.21428571426,362151.2171394236,1468597.0,80874.0,3069604.0,146171.61904761908,338609.30492006213,1598991.0,2053.0,1,300,440,4.8143413451462305,7.0610339728811375,581.0,180.1578947368421,221.36609353833092,49002.94736842105,1,1.0,185.027027027027,301.93333333333334,78.9090909090909,15,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,2975710,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,1196.3531392508007,4.032651031182474,270519.0909090909,646743.0378538999,2204791.0,4331.0,2898400.0,483066.66666666657,846827.2540162287,2204791.0,75970.0,2903998.0,725999.5,1046803.8533754386,2281156.0,5849.0,1,140,100,2.3523797681897767,1.6802712629926977,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,13659,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49158,5622989,23,20,1320.0,5856.0,165.0,0.0,57.39130434782609,80.35248433701621,581.0,0.0,292.80000000000007,247.99015260585185,1276.1895852899588,7.647178395689552,133880.69047619047,235865.49835286065,952042.0,1152.0,4647415.0,211246.1363636364,310964.60330371634,1098467.0,2533.0,5622989.0,295946.7894736842,321523.252060939,1053980.0,1152.0,1,460,400,4.090351234903714,3.5568271607858386,581.0,166.8409090909091,210.39088131069084,44264.32293868921,1,0.0,170.72093023255815,57.39130434782609,292.8,23,1320,20,5856,14000,8,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,5301697,9,6,1364.0,3086.0,341.0,0.0,151.55555555555554,179.7227803529029,549.0,341.0,514.3333333333333,84.9156444164835,839.3538898960088,2.8292827749303666,378692.6428571429,593300.7280990499,1687012.0,5346.0,5198178.0,649772.25,692314.6352799323,1687012.0,76979.0,5230035.0,1046007.0,904011.0905005536,2120309.0,32098.0,1,180,120,1.69756966495822,1.1317131099721467,549.0,299.43749999999994,226.5812492242021,51339.0625,1,0.0,319.4,151.55555555555554,514.3333333333334,9,1364,6,3086,14000,4,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,4811910,16,22,4529.0,1736.0,581.0,0.0,283.0625,244.78329702003768,581.0,0.0,78.90909090909092,136.47777041768308,1301.9778009148133,7.897072056626163,130051.62162162169,336588.28385600506,2065214.0,1255.0,4626370.0,308424.66666666674,487923.24029219814,2065214.0,53069.0,4743225.0,225867.8571428571,487609.54664775456,2313843.0,2533.0,1,320,440,3.325082971211016,4.571989085415146,581.0,175.5384615384616,220.33071388660588,48545.623481781375,1,1.0,180.15789473684208,283.0625,78.9090909090909,16,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,4545246,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,783.2359348646918,2.640121128757388,413204.1818181818,984249.1904893615,3364726.0,3739.0,4397873.0,732978.8333333333,1290458.0586335098,3364726.0,152404.0,4380855.0,1095213.75,1625786.35719547,3515329.0,5592.0,1,140,100,1.5400706584418091,1.1000504703155782,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,14000,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,4460714,16,22,4529.0,1736.0,581.0,0.0,283.0625,244.78329702003768,581.0,0.0,78.90909090909092,136.47777041768308,1404.4836768284179,8.518815597682343,120559.83783783785,311258.75434859603,1905120.0,1252.0,4247165.0,283144.33333333326,452713.85832485935,1905120.0,45566.0,4454326.0,212110.76190476184,468451.07560586353,2216205.0,3081.0,1,320,440,3.5868697253399335,4.93194587234241,581.0,175.5384615384616,220.33071388660588,48545.623481781375,1,1.0,180.15789473684208,283.0625,78.9090909090909,16,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,4314447,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,825.1347159902533,2.781352975248044,392222.45454545453,927211.5106366359,3172333.0,3887.0,4139843.0,689973.8333333335,1217281.214131791,3172333.0,129583.0,4141077.0,1035269.25,1536084.6984343831,3321101.0,3887.0,1,140,100,1.6224559022280258,1.1588970730200183,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,13659,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,2526491,15,22,4529.0,1736.0,581.0,0.0,301.93333333333334,241.02710774240032,581.0,0.0,78.90909090909092,136.47777041768308,2479.723854151865,14.64481765420894,70180.30555555555,131664.46000492948,776070.0,1110.0,2412924.0,172351.71428571426,180862.47979969945,776070.0,76847.0,2459703.0,117128.71428571428,231355.33922348602,1094023.0,2587.0,1,300,440,5.937088238192812,8.707729416016129,581.0,180.1578947368421,221.36609353833092,49002.94736842105,1,1.0,185.027027027027,301.93333333333334,78.9090909090909,15,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,2350241,7,5,1023.0,2537.0,341.0,0.0,146.14285714285714,182.27216698427344,549.0,341.0,507.4,93.02042786399124,1514.7382757768246,5.105859356551093,213658.27272727274,487414.4591285923,1668928.0,4024.0,2274923.0,379153.83333333343,634367.0556872942,1668928.0,75531.0,2278720.0,569680.0,792832.2697826234,1744367.0,4024.0,1,140,100,2.978417957988138,2.127441398562956,549.0,300.07692307692304,226.6437959804112,51367.410256410265,1,0.0,325.0833333333333,146.14285714285714,507.4,7,1023,5,2537,13318,3,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,6505412,17,24,5110.0,1320.0,581.0,0.0,300.5882352941176,247.7811682774564,165.0,0.0,55.0,79.45466303660767,988.4078056854815,6.3024447951951394,162635.29999999993,435488.2075036929,2010420.0,1008.0,4444490.0,277780.62499999994,478178.01034285343,2010420.0,16435.0,6281758.0,273119.9130434783,596468.6137445589,2164152.0,3080.0,0,340,480,2.613208817519936,3.689235977675204,581.0,153.0952380952381,206.70065660318025,42725.16144018584,0,1.0,156.82926829268294,300.5882352941176,55.0,17,5110,24,1320,65535,14,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49157,443,6023527,5,10,2196.0,1364.0,549.0,0.0,439.2,245.5202639294769,341.0,0.0,136.39999999999998,176.0916428075639,591.0158616372103,2.490235372066897,430251.9285714286,945765.54171841,3244117.0,1412.0,3990032.0,997508.0,1556203.9774903115,3319346.0,2227.0,6023527.0,669280.7777777779,1128700.505830353,3244117.0,71050.0,0,100,200,0.8300784573556323,1.6601569147112647,549.0,222.5,242.0231393896046,58575.19999999999,0,2.0,237.33333333333331,439.2,136.4,5,2196,10,1364,65535,4,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,2889846,15,22,4529.0,1736.0,581.0,0.0,301.93333333333334,241.02710774240032,581.0,0.0,78.90909090909092,136.47777041768308,2167.9355924156507,12.803450426078069,80273.5,153083.21039011062,915290.0,1366.0,2773014.0,198072.42857142855,226031.30993726524,915290.0,72767.0,2794183.0,133056.33333333337,227716.77123684442,1079584.0,3620.0,1,300,440,5.19058801057219,7.6128624155058775,581.0,180.1578947368421,221.36609353833092,49002.94736842105,1,1.0,185.027027027027,301.93333333333334,78.9090909090909,15,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
443,49157,2646775,8,6,1364.0,2537.0,341.0,0.0,170.5,182.2721669842734,549.0,0.0,422.83333333333337,223.22940367851783,1473.8691426358496,5.289456036119429,203598.0769230769,445627.2049275907,1660475.0,1543.0,2568896.0,366985.1428571429,608704.2655234775,1732733.0,10143.0,2576080.0,515216.0,674365.4965391542,1660475.0,3622.0,1,160,120,3.0225463063539597,2.266909729765469,549.0,282.8,224.1893969711452,50260.88571428572,1,0.0,303.0,170.5,422.83333333333326,8,1364,6,2537,13659,4,0.0,0.0,0.0,0.0,0.0,0.0,unlock
49158,443,2783699,16,22,4529.0,1736.0,581.0,0.0,283.0625,244.78329702003768,581.0,0.0,78.90909090909092,136.47777041768308,2250.6025256322614,13.650901192980996,75235.10810810812,106461.76424681088,558819.0,223.0,2668210.0,177880.66666666672,137945.76457209894,558819.0,74477.0,2593118.0,123481.80952380956,182740.4401148304,835373.0,223.0,1,320,440,5.74774787072884,7.9031533222521535,581.0,175.5384615384616,220.33071388660588,48545.623481781375,1,1.0,180.15789473684208,283.0625,78.9090909090909,16,4529,22,1736,65535,13,0.0,0.0,0.0,0.0,0.0,0.0,unlock
