Flow Direction,Dst Port,Flow Duration,Flow Byts/s,Flow Pkts/s,Pkt Size Avg
0,443,5548406,1337.5012571178,7.9302055401,181.8636363636
1,49157,7259016,613.0307468671,2.066395776,319.4
0,443,3966926,1579.3085124351,9.579205662,180.1578947368
1,49157,3713155,958.7534051231,3.231753051,325.0833333333
0,443,4754012,1317.834283969,8.2035972985,160.641025641
1,49157,3796357,937.741102852,3.1609250658,325.0833333333
0,443,3961860,1581.3279621188,9.5914545188,180.1578947368
1,49157,3676022,968.4381649511,3.2643983088,325.0833333333
0,443,4252524,1473.2427142093,8.9358696153,164.8684210526
1,49157,2901761,1226.8412181431,4.1354198364,325.0833333333
0,443,5901154,1160.1120729945,6.60887684,190.4358974359
1,49157,5702340,624.3051098321,2.1043992466,325.0833333333
0,443,4752159,1318.348144496,7.785934772,185.027027027
1,443,6090268,730.673921082,2.7913385749,261.7647058824
0,443,3811811,1643.5757176838,9.7066722353,185.027027027
1,49157,3672350,969.4065108173,3.267662396,325.0833333333
0,443,4847335,1292.4627656228,7.6330602279,185.027027027
1,49157,4481527,794.3720968322,2.6776587534,325.0833333333
0,443,3745186,1672.8141139052,10.4133679876,175.5384615385
1,49157,3641176,977.7061037423,3.2956385519,325.0833333333
0,443,3088038,2028.796277766,11.9817178416,185.027027027
1,49157,2916198,1220.7675884834,4.1149469275,325.0833333333
0,443,5435206,1259.5658747801,7.1754410044,190.4358974359
1,49157,3933288,905.0951773681,3.0508826203,325.0833333333
0,443,4006110,1563.8612020139,9.7351295896,160.641025641
1,443,3664820,971.3983224278,3.8201057624,254.2857142857
0,443,5245576,1194.3397636408,6.8629260161,190.1666666667
1,49157,3797313,937.505019997,3.1601292809,325.0833333333
0,443,3301432,1897.6613784564,11.813055668,175.5384615385
1,49157,2927777,1215.9396019574,4.0986728156,325.0833333333
0,443,3951406,1585.511587521,10.1229790105,171.15
1,49157,3587689,992.282218442,3.6235024831,300.0769230769
0,443,4047624,1547.8216356065,9.1411652861,185.027027027
1,49157,3764823,945.5955831124,3.187400842,325.0833333333
0,443,3458825,1811.3087536953,10.6972743634,185.027027027
1,49157,3235842,1100.1773263342,3.7084628978,325.0833333333
0,443,4211149,1487.7174851804,9.0236655127,180.1578947368
1,49157,3781360,941.4602153722,3.1734614001,325.0833333333
0,443,2905121,2156.5366812604,12.73613044,185.027027027
1,49157,2713990,1311.7218560127,4.4215343461,325.0833333333
0,443,3884374,1612.8724988891,9.5253443669,185.027027027
1,49157,3727766,954.9955657088,3.2190861765,325.0833333333
0,443,3976054,1575.6828252333,10.0602255402,171.15
1,49157,3623293,982.5316362767,3.3119043919,325.0833333333
0,443,4686569,1551.6681819899,9.6019070668,174.5111111111
1,49157,3802964,936.1119379516,3.1554334987,325.0833333333
0,443,4606627,1324.1792747709,8.2489856461,175.8157894737
1,49157,4260726,835.5383566087,2.8164214268,325.0833333333
0,443,4711910,1543.3231959015,9.5502673014,174.5111111111
