Flow Direction,Dst Port,Flow Duration,Flow Byts/s,Flow Pkts/s,Pkt Size Avg
0,443,4755900,1317.31112933409,8.41060577388086,156.625
1,443,4327831,822.582952060744,3.23487677776697,254.285714285714
0,443,4941757,1471.54139711847,8.49900146850604,186.97619047619
1,49157,4531494,785.612868515328,2.64813326465841,325.083333333333
0,443,4711416,1329.74884832925,7.85326534528049,185.027027027027
1,49157,4472345,796.002991719109,2.68315615186217,325.083333333333
0,443,4748312,1319.41624728956,8.21344511481133,175.538461538462
1,49157,4487338,793.343403149038,2.67419124656979,325.083333333333
0,443,4214008,1486.70814103818,9.01754339336802,180.157894736842
1,49157,3877632,918.086089654717,3.09467221231927,325.083333333333
0,443,4138803,1513.72268745335,9.18139858311691,180.157894736842
1,49157,3981407,894.156261844117,3.01400987138466,325.083333333333
0,443,5006933,1251.26499595661,8.18864562397779,152.804878048781
1,443,4798315,741.92711399731,2.91769089774223,254.285714285714
0,443,6505412,988.407805685482,6.30244479519514,156.829268292683
1,443,6023527,591.01586163721,2.4902353720669,237.333333333333
0,443,4089028,1532.14896058428,9.04860519419285,185.027027027027
1,49157,3873155,919.147310138634,3.09824936001787,325.083333333333
0,443,6620676,993.705174516922,6.04167912762987,179
1,49157,6245841,712.474108770941,2.40159811945261,319.4
0,443,4215581,1525.29390373474,9.25139381736468,179.769230769231
1,49157,3934174,904.891344409271,3.0501955429526,325.083333333333
0,443,4415236,1418.95019881157,8.38007300176027,185.027027027027
1,49157,4106403,866.938778293314,2.92226554480892,325.083333333333
0,443,4148889,1510.04280905081,8.91805010931842,185.027027027027
1,49157,3924014,907.234275922563,3.05809306490752,325.083333333333
0,443,4965811,1261.62675140073,7.45094809286942,185.027027027027
1,49157,4517769,787.999563501365,2.65617830393719,325.083333333333
0,443,3996769,1567.51616117919,9.75788192912825,175.538461538462
1,49157,3863625,921.414474748455,3.10589148791614,325.083333333333
0,443,4169693,1502.50869788255,8.87355495956177,185.027027027027
1,49157,3854929,923.49301374941,3.11289779915532,325.083333333333
0,443,4230326,1480.97333397001,8.98275924834162,180.157894736842
1,49157,3942976,902.871333733708,3.04338651820351,325.083333333333
0,443,4058539,1584.31396125552,9.60936928288727,179.769230769231
1,49157,3901069,912.570374940818,3.07607991553085,325.083333333333
0,443,4126103,1558.37117977908,9.45201804220593,179.769230769231
